file_path,class_id
balanced_dataset\train\swimming\000000.jpg,0
balanced_dataset\train\swimming\000001.jpg,0
balanced_dataset\train\swimming\000002.jpg,0
balanced_dataset\train\swimming\000003.jpg,0
balanced_dataset\train\swimming\000004.jpg,0
balanced_dataset\train\swimming\000005.jpg,0
balanced_dataset\train\swimming\000006.jpg,0
balanced_dataset\train\swimming\000007.jpg,0
balanced_dataset\train\swimming\000008.jpg,0
balanced_dataset\train\swimming\000009.jpg,0
balanced_dataset\train\swimming\000010.jpg,0
balanced_dataset\train\swimming\000011.jpg,0
balanced_dataset\train\swimming\000012.jpg,0
balanced_dataset\train\swimming\000013.jpg,0
balanced_dataset\train\swimming\000014.jpg,0
balanced_dataset\train\swimming\000015.jpg,0
balanced_dataset\train\swimming\000016.jpg,0
balanced_dataset\train\swimming\000017.jpg,0
balanced_dataset\train\swimming\000018.jpg,0
balanced_dataset\train\swimming\000019.jpg,0
balanced_dataset\train\swimming\000020.jpg,0
balanced_dataset\train\swimming\000021.jpg,0
balanced_dataset\train\swimming\000022.jpg,0
balanced_dataset\train\swimming\000023.jpg,0
balanced_dataset\train\swimming\000024.jpg,0
balanced_dataset\train\swimming\000025.jpg,0
balanced_dataset\train\swimming\000026.jpg,0
balanced_dataset\train\swimming\000027.jpg,0
balanced_dataset\train\swimming\000028.jpg,0
balanced_dataset\train\swimming\000029.jpg,0
balanced_dataset\train\swimming\000030.jpg,0
balanced_dataset\train\swimming\000031.jpg,0
balanced_dataset\train\swimming\000032.jpg,0
balanced_dataset\train\swimming\000033.jpg,0
balanced_dataset\train\swimming\000034.jpg,0
balanced_dataset\train\swimming\000035.jpg,0
balanced_dataset\train\swimming\000036.jpg,0
balanced_dataset\train\swimming\000037.jpg,0
balanced_dataset\train\swimming\000038.jpg,0
balanced_dataset\train\swimming\000039.jpg,0
balanced_dataset\train\swimming\000040.jpg,0
balanced_dataset\train\swimming\000041.jpg,0
balanced_dataset\train\swimming\000042.jpg,0
balanced_dataset\train\swimming\000043.jpg,0
balanced_dataset\train\swimming\000044.jpg,0
balanced_dataset\train\swimming\000045.jpg,0
balanced_dataset\train\swimming\000046.jpg,0
balanced_dataset\train\swimming\000047.jpg,0
balanced_dataset\train\swimming\000048.jpg,0
balanced_dataset\train\swimming\000049.jpg,0
balanced_dataset\train\swimming\000050.jpg,0
balanced_dataset\train\swimming\000051.jpg,0
balanced_dataset\train\swimming\000052.jpg,0
balanced_dataset\train\swimming\000053.jpg,0
balanced_dataset\train\swimming\000054.jpg,0
balanced_dataset\train\swimming\000055.jpg,0
balanced_dataset\train\swimming\000056.jpg,0
balanced_dataset\train\swimming\000057.jpg,0
balanced_dataset\train\swimming\000058.jpg,0
balanced_dataset\train\swimming\000059.jpg,0
balanced_dataset\train\swimming\000060.jpg,0
balanced_dataset\train\swimming\000061.jpg,0
balanced_dataset\train\swimming\000062.jpg,0
balanced_dataset\train\swimming\000063.jpg,0
balanced_dataset\train\swimming\000064.jpg,0
balanced_dataset\train\swimming\000065.jpg,0
balanced_dataset\train\swimming\000066.jpg,0
balanced_dataset\train\swimming\000067.jpg,0
balanced_dataset\train\swimming\000068.jpg,0
balanced_dataset\train\swimming\000069.jpg,0
balanced_dataset\train\swimming\000070.jpg,0
balanced_dataset\train\swimming\000071.jpg,0
balanced_dataset\train\swimming\000072.jpg,0
balanced_dataset\train\swimming\000073.jpg,0
balanced_dataset\train\swimming\000074.jpg,0
balanced_dataset\train\swimming\000075.jpg,0
balanced_dataset\train\swimming\000076.jpg,0
